"FullName","Name","Ext","SizeMB","LastWrite"
"D:\铁路线路智能检测机器人\01_会话与系统文档\AGENTS.md","AGENTS.md",".md","0.002","2026/3/4 21:04:30"
"D:\铁路线路智能检测机器人\01_会话与系统文档\BOOTSTRAP.md","BOOTSTRAP.md",".md","0.001","2026/3/7 13:45:53"
"D:\铁路线路智能检测机器人\01_会话与系统文档\cc1_manual.txt","cc1_manual.txt",".txt","0.055","2026/3/6 18:10:27"
"D:\铁路线路智能检测机器人\01_会话与系统文档\doc_content.txt","doc_content.txt",".txt","0.002","2026/3/7 15:46:08"
"D:\铁路线路智能检测机器人\01_会话与系统文档\HEARTBEAT.md","HEARTBEAT.md",".md","0","2026/3/4 21:04:30"
"D:\铁路线路智能检测机器人\01_会话与系统文档\IDENTITY.md","IDENTITY.md",".md","0","2026/3/5 15:22:47"
"D:\铁路线路智能检测机器人\01_会话与系统文档\MEMORY.md","MEMORY.md",".md","0.003","2026/3/6 13:12:25"
"D:\铁路线路智能检测机器人\01_会话与系统文档\package.json","package.json",".json","0","2026/3/5 16:24:42"
"D:\铁路线路智能检测机器人\01_会话与系统文档\package-lock.json","package-lock.json",".json","0.008","2026/3/5 16:24:42"
"D:\铁路线路智能检测机器人\01_会话与系统文档\SOUL.md","SOUL.md",".md","0","2026/3/5 15:22:47"
"D:\铁路线路智能检测机器人\01_会话与系统文档\TOOLS.md","TOOLS.md",".md","0.001","2026/3/4 21:04:30"
"D:\铁路线路智能检测机器人\01_会话与系统文档\USER.md","USER.md",".md","0","2026/3/5 15:59:44"
"D:\铁路线路智能检测机器人\01_会话与系统文档\workspace-state.json","workspace-state.json",".json","0","2026/3/7 16:31:34"
"D:\铁路线路智能检测机器人\03_代码与脚本\extract.py","extract.py",".py","0.001","2026/3/6 18:09:34"
"D:\铁路线路智能检测机器人\03_代码与脚本\extract_doc.py","extract_doc.py",".py","0.001","2026/3/7 15:46:51"
"D:\铁路线路智能检测机器人\03-论文编撰\铁路线路智能检测机器人学术论文提纲 V2.0.docx","铁路线路智能检测机器人学术论文提纲 V2.0.docx",".docx","0.041","2026/3/5 20:26:10"
"D:\铁路线路智能检测机器人\03-论文编撰\铁路线路智能检测机器人学术论文提纲 V2.0.pdf","铁路线路智能检测机器人学术论文提纲 V2.0.pdf",".pdf","0.176","2026/3/5 20:30:54"
"D:\铁路线路智能检测机器人\03-论文编撰\铁路线路智能检测机器人专业论文提纲 V1.0.docx","铁路线路智能检测机器人专业论文提纲 V1.0.docx",".docx","0.039","2026/3/5 18:04:01"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\test.docx","test.docx",".docx","0.035","2026/3/5 17:04:05"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\机器人系统架构.docx","机器人系统架构.docx",".docx","0.036","2026/3/5 16:27:11"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\机器人硬件系统架构设计文档 V1.0.docx","机器人硬件系统架构设计文档 V1.0.docx",".docx","0.046","2026/3/5 16:50:26"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\机器人硬件系统架构设计文档 V1.0-NEW.docx","机器人硬件系统架构设计文档 V1.0-NEW.docx",".docx","0.039","2026/3/5 16:56:55"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\机器人硬件系统架构设计文档_V2.0_定稿版.docx","机器人硬件系统架构设计文档_V2.0_定稿版.docx",".docx","0.036","2026/3/6 16:20:11"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\软件架构设计.docx","软件架构设计.docx",".docx","0.038","2026/3/5 16:28:26"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\软件系统架构设计文档 V1.0.docx","软件系统架构设计文档 V1.0.docx",".docx","0.044","2026/3/5 17:15:59"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\软件系统架构设计文档 V1.0-详尽版.docx","软件系统架构设计文档 V1.0-详尽版.docx",".docx","0.053","2026/3/5 17:25:26"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\软件系统架构设计文档_V2.0_纯工程版.docx","软件系统架构设计文档_V2.0_纯工程版.docx",".docx","0.036","2026/3/6 16:21:46"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\软件系统架构设计文档_V2.0_定稿版.docx","软件系统架构设计文档_V2.0_定稿版.docx",".docx","0.036","2026/3/6 16:20:11"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\软件系统架构设计文档_V2.1_强一致性版.docx","软件系统架构设计文档_V2.1_强一致性版.docx",".docx","0.036","2026/3/6 16:25:55"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人_7大核心工作板块_V2.1对齐版.docx","铁路线路智能检测机器人_7大核心工作板块_V2.1对齐版.docx",".docx","0.037","2026/3/6 16:28:43"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人_7大核心工作板块_纯工程定稿版.docx","铁路线路智能检测机器人_7大核心工作板块_纯工程定稿版.docx",".docx","0.038","2026/3/6 16:16:48"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人_7大核心工作板块_深度论证完整版.docx","铁路线路智能检测机器人_7大核心工作板块_深度论证完整版.docx",".docx","0.037","2026/3/6 15:48:00"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人_7大核心工作板块_深度论证优化版.docx","铁路线路智能检测机器人_7大核心工作板块_深度论证优化版.docx",".docx","0.038","2026/3/6 15:40:39"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人_底层硬件与系统生死线深度论证报告_V1.0.docx","铁路线路智能检测机器人_底层硬件与系统生死线深度论证报告_V1.0.docx",".docx","0.037","2026/3/6 15:55:58"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人_四步流转硬核技术白皮书_V2.0.docx","铁路线路智能检测机器人_四步流转硬核技术白皮书_V2.0.docx",".docx","0.038","2026/3/6 16:59:15"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人_四步流转硬核技术白皮书_V3.0.docx","铁路线路智能检测机器人_四步流转硬核技术白皮书_V3.0.docx",".docx","0.038","2026/3/6 17:05:31"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人_四步流转硬核技术白皮书_工业仪器级.docx","铁路线路智能检测机器人_四步流转硬核技术白皮书_工业仪器级.docx",".docx","0.038","2026/3/6 16:51:55"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人技术方案 V1.0.docx","铁路线路智能检测机器人技术方案 V1.0.docx",".docx","0.046","2026/3/5 17:37:51"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人技术方案_V2.0_纯工程版.docx","铁路线路智能检测机器人技术方案_V2.0_纯工程版.docx",".docx","0.036","2026/3/6 16:21:46"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人技术方案_V2.0_定稿版.docx","铁路线路智能检测机器人技术方案_V2.0_定稿版.docx",".docx","0.036","2026/3/6 16:20:11"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人技术方案_V2.1_强一致性版.docx","铁路线路智能检测机器人技术方案_V2.1_强一致性版.docx",".docx","0.036","2026/3/6 16:25:56"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人系统全景架构设计文档_V3.0_终极版.docx","铁路线路智能检测机器人系统全景架构设计文档_V3.0_终极版.docx",".docx","0.037","2026/3/6 14:53:31"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\铁路线路智能检测机器人系统总架构设计文档_V2.0.docx","铁路线路智能检测机器人系统总架构设计文档_V2.0.docx",".docx","0.037","2026/3/6 14:32:10"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\硬件系统架构设计文档_V2.0_纯工程版.docx","硬件系统架构设计文档_V2.0_纯工程版.docx",".docx","0.036","2026/3/6 16:21:46"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\硬件系统架构设计文档_V2.1_强一致性版.docx","硬件系统架构设计文档_V2.1_强一致性版.docx",".docx","0.036","2026/3/6 16:25:55"
"D:\铁路线路智能检测机器人\04-项目文档\设计文档\硬件系统架构设计文档-完整版 V1.0.docx","硬件系统架构设计文档-完整版 V1.0.docx",".docx","0.046","2026/3/5 16:50:26"
"D:\铁路线路智能检测机器人\07-临时文件\cc1_manual.txt","cc1_manual.txt",".txt","0.054","2026/3/6 18:05:16"
"D:\铁路线路智能检测机器人\07-临时文件\complete_solution.py","complete_solution.py",".py","0.013","2026/3/5 17:37:50"
"D:\铁路线路智能检测机器人\07-临时文件\convert_to_pdf.py","convert_to_pdf.py",".py","0.001","2026/3/5 20:30:15"
"D:\铁路线路智能检测机器人\07-临时文件\create_academic_paper_outline.py","create_academic_paper_outline.py",".py","0.028","2026/3/5 20:26:02"
"D:\铁路线路智能检测机器人\07-临时文件\create_complete_hardware_doc.py","create_complete_hardware_doc.py",".py","0.01","2026/3/5 16:56:51"
"D:\铁路线路智能检测机器人\07-临时文件\create_docs.js","create_docs.js",".js","0.015","2026/3/5 16:24:12"
"D:\铁路线路智能检测机器人\07-临时文件\create_feishu_doc.json","create_feishu_doc.json",".json","0.011","2026/3/5 20:36:01"
"D:\铁路线路智能检测机器人\07-临时文件\create_paper_outline.py","create_paper_outline.py",".py","0.021","2026/3/5 18:03:54"
"D:\铁路线路智能检测机器人\07-临时文件\create_professional_docs.py","create_professional_docs.py",".py","0.03","2026/3/5 16:34:13"
"D:\铁路线路智能检测机器人\07-临时文件\create_software_arch.py","create_software_arch.py",".py","0.01","2026/3/5 16:28:20"
"D:\铁路线路智能检测机器人\07-临时文件\create_word_docs.py","create_word_docs.py",".py","0.011","2026/3/5 16:27:08"
"D:\铁路线路智能检测机器人\07-临时文件\design_ipc.py","design_ipc.py",".py","0.02","2026/3/5 16:45:10"
"D:\铁路线路智能检测机器人\07-临时文件\detailed_software_doc.py","detailed_software_doc.py",".py","0.038","2026/3/5 17:25:20"
"D:\铁路线路智能检测机器人\07-临时文件\final_software_doc.py","final_software_doc.py",".py","0.02","2026/3/5 17:15:55"
"D:\铁路线路智能检测机器人\07-临时文件\fix_network.py","fix_network.py",".py","0.005","2026/3/5 16:41:16"
"D:\铁路线路智能检测机器人\07-临时文件\fix_serial.py","fix_serial.py",".py","0.001","2026/3/5 16:42:13"
"D:\铁路线路智能检测机器人\07-临时文件\fix_tables.py","fix_tables.py",".py","0.008","2026/3/5 16:50:25"
"D:\铁路线路智能检测机器人\07-临时文件\generate_7core_v_aligned.py","generate_7core_v_aligned.py",".py","0.006","2026/3/6 16:28:37"
"D:\铁路线路智能检测机器人\07-临时文件\generate_arch_v2.py","generate_arch_v2.py",".py","0.005","2026/3/6 14:30:26"
"D:\铁路线路智能检测机器人\07-临时文件\generate_arch_v3.py","generate_arch_v3.py",".py","0.006","2026/3/6 14:52:50"
"D:\铁路线路智能检测机器人\07-临时文件\generate_arch_v3_fixed.py","generate_arch_v3_fixed.py",".py","0.005","2026/3/6 14:53:18"
"D:\铁路线路智能检测机器人\07-临时文件\generate_final_v5.py","generate_final_v5.py",".py","0.005","2026/3/6 15:47:57"
"D:\铁路线路智能检测机器人\07-临时文件\generate_final_v6.py","generate_final_v6.py",".py","0.005","2026/3/6 16:16:10"
"D:\铁路线路智能检测机器人\07-临时文件\generate_opt_v4.py","generate_opt_v4.py",".py","0.006","2026/3/6 15:40:29"
"D:\铁路线路智能检测机器人\07-临时文件\generate_report_v1.py","generate_report_v1.py",".py","0.005","2026/3/6 15:55:23"
"D:\铁路线路智能检测机器人\07-临时文件\generate_v2_final_docs.py","generate_v2_final_docs.py",".py","0.007","2026/3/6 16:21:41"
"D:\铁路线路智能检测机器人\07-临时文件\generate_whitepaper.py","generate_whitepaper.py",".py","0.006","2026/3/6 16:51:54"
"D:\铁路线路智能检测机器人\07-临时文件\generate_whitepaper_v3.py","generate_whitepaper_v3.py",".py","0.006","2026/3/6 17:04:33"
"D:\铁路线路智能检测机器人\07-临时文件\generate_wp_v3.py","generate_wp_v3.py",".py","0.006","2026/3/6 17:05:26"
"D:\铁路线路智能检测机器人\07-临时文件\quick_soft.py","quick_soft.py",".py","0.002","2026/3/5 16:35:21"
"D:\铁路线路智能检测机器人\07-临时文件\read_pdf.py","read_pdf.py",".py","0.001","2026/3/6 18:04:56"
"D:\铁路线路智能检测机器人\07-临时文件\rebuild_doc_part1.py","rebuild_doc_part1.py",".py","0.009","2026/3/5 16:54:11"
"D:\铁路线路智能检测机器人\07-临时文件\technical_solution.py","technical_solution.py",".py","0.012","2026/3/5 17:33:53"
"D:\铁路线路智能检测机器人\07-临时文件\update_all_docs_v2.py","update_all_docs_v2.py",".py","0.006","2026/3/6 16:19:39"
"D:\铁路线路智能检测机器人\07-临时文件\update_docs_to_v2.py","update_docs_to_v2.py",".py","0.006","2026/3/6 16:20:53"
"D:\铁路线路智能检测机器人\07-临时文件\update_voltage.py","update_voltage.py",".py","0.001","2026/3/5 16:39:18"
"D:\铁路线路智能检测机器人\07-临时文件\硬件架构_备份.docx","硬件架构_备份.docx",".docx","0.046","2026/3/5 16:50:26"
"D:\铁路线路智能检测机器人\07-临时文件\终极版_temp.txt","终极版_temp.txt",".txt","0.003","2026/3/7 15:46:51"
"D:\铁路线路智能检测机器人\logs\migration_20260307_172614.log","migration_20260307_172614.log",".log","0.002","2026/3/7 17:26:14"
"D:\铁路线路智能检测机器人\logs\report_20260307_172614.csv","report_20260307_172614.csv",".csv","0.003","2026/3/7 17:26:14"
"D:\铁路线路智能检测机器人\logs\summary_20260307_172614.txt","summary_20260307_172614.txt",".txt","0","2026/3/7 17:26:14"
"D:\铁路线路智能检测机器人\欧普特工业相机\CC1系列+GigE工业面阵相机使用说明书_V2.1.0(CN)(1).pdf","CC1系列+GigE工业面阵相机使用说明书_V2.1.0(CN)(1).pdf",".pdf","1.596","2026/3/6 14:48:49"
"D:\铁路线路智能检测机器人\项目目录说明.docx","项目目录说明.docx",".docx","0.036","2026/3/5 16:27:12"
